order_id,customer_id,product,region,channel,order_date,year,revenue
1,CUST033,iphone,south_america,online,2023-01-21,2023,1117
2,CUST046,oneplus,europe,retail,2023-09-25,2024,1422
3,CUST029,samsung,asia,retail,2024-04-10,2021,775
4,CUST012,pixel,europe,partner,2022-08-26,2022,667
5,CUST022,pixel,south_america,partner,2024-02-23,2024,864
6,CUST007,iphone,asia,partner,2021-06-11,2021,1093
7,CUST015,xiaomi,north_america,partner,2022-06-23,2024,1359
8,CUST002,oneplus,south_america,retail,2023-06-21,2023,507
9,CUST010,pixel,south_america,retail,2023-06-24,2023,1414
10,CUST032,iphone,north_america,retail,2021-04-23,2021,1227
11,CUST037,iphone,europe,partner,2023-09-16,2022,336
12,CUST042,iphone,europe,retail,2021-01-10,2021,1303
13,CUST039,oneplus,north_america,partner,2021-09-18,2021,1415
14,CUST013,oneplus,asia,partner,2023-05-27,2023,1350
15,CUST045,oneplus,europe,retail,2022-09-19,2021,1060
16,CUST047,samsung,europe,retail,2021-04-18,2021,614
17,CUST023,iphone,europe,partner,2021-09-14,2023,1009
18,CUST011,xiaomi,south_america,online,2024-05-25,2022,367
19,CUST046,oneplus,europe,partner,2023-05-21,2021,998
20,CUST043,pixel,asia,online,2023-07-20,2022,549
21,CUST011,xiaomi,north_america,retail,2024-06-13,2022,1062
22,CUST002,pixel,asia,retail,2021-09-13,2023,1447
23,CUST008,pixel,asia,online,2024-05-21,2024,1273
24,CUST002,xiaomi,south_america,retail,2022-06-18,2022,581
25,CUST012,iphone,north_america,partner,2023-05-26,2024,1005
26,CUST004,iphone,asia,online,2024-01-15,2023,846
27,CUST029,oneplus,south_america,retail,2024-09-26,2024,1244
28,CUST001,xiaomi,asia,retail,2021-07-10,2024,655
29,CUST037,pixel,asia,retail,2022-04-27,2024,563
30,CUST030,oneplus,asia,partner,2022-01-18,2024,1163
31,CUST043,iphone,europe,partner,2023-05-13,2021,1475
32,CUST043,iphone,south_america,online,2023-04-16,2021,562
33,CUST025,samsung,south_america,online,2021-04-13,2024,918
34,CUST001,pixel,south_america,online,2022-03-14,2022,1299
35,CUST047,pixel,north_america,retail,2023-01-25,2023,1166
36,CUST038,oneplus,asia,partner,2022-06-11,2024,1440
37,CUST041,xiaomi,north_america,retail,2023-06-15,2021,632
38,CUST019,oneplus,south_america,online,2024-08-17,2022,1408
39,CUST011,samsung,europe,retail,2023-09-18,2021,1140
40,CUST005,xiaomi,south_america,online,2024-03-16,2021,755
41,CUST024,iphone,europe,retail,2024-08-27,2023,1280
42,CUST038,oneplus,north_america,retail,2023-06-15,2022,1086
43,CUST040,oneplus,north_america,online,2023-01-11,2021,968
44,CUST006,samsung,asia,online,2022-06-20,2021,419
45,CUST027,pixel,europe,retail,2022-05-27,2023,737
46,CUST017,oneplus,asia,online,2024-02-14,2023,700
47,CUST036,iphone,north_america,partner,2021-01-22,2022,745
48,CUST020,oneplus,europe,online,2023-03-15,2023,662
49,CUST031,samsung,asia,retail,2022-01-19,2023,932
50,CUST034,xiaomi,europe,online,2022-09-28,2021,1035
51,CUST036,iphone,asia,retail,2022-03-27,2021,974
52,CUST029,xiaomi,south_america,partner,2023-06-10,2021,913
53,CUST034,samsung,north_america,partner,2024-05-26,2022,953
54,CUST030,iphone,north_america,partner,2021-06-17,2023,1476
55,CUST005,xiaomi,asia,partner,2023-05-18,2024,1371
56,CUST032,oneplus,europe,partner,2023-03-19,2024,1149
57,CUST049,oneplus,south_america,retail,2024-02-19,2021,987
58,CUST031,samsung,north_america,partner,2023-02-13,2023,722
59,CUST003,oneplus,asia,online,2021-05-14,2022,898
60,CUST036,xiaomi,europe,partner,2024-08-24,2023,1151
